AD;ALV;Andorra la Vella;Andorra la Vella;;--34-6--;AI;601;;4230N 00131E
AD;CAN;Canillo;Canillo;;--3-----;RL;307;;4234N 00135E
AD;ENC;Encamp;Encamp;;--3-----;RL;307;;4232N 00134E
AD;ESC;Escaldes-Engordany;Escaldes-Engordany;;--3-----;RL;307;;4231N 00133E
AD;EAC;Escàs;Escas;4;--3-----;RL;1407;;4233N 00131E
AD;FMO;La Farga de Moles;La Farga de Moles;;#¿NOMBRE?;RQ;307;;
AD;LMA;La Massana;La Massana;;--3-----;RL;307;;4234N 00129E
AD;ORD;Ordino;Ordino;;--3-----;RL;307;;4233N 00131E
AD;PAS;Pas de la Casa;Pas de la Casa;;#¿NOMBRE?;RL;307;;4233N 00144E
AD;SJL;Sant Julià de Lòria;Sant Julia de Loria;;--3-----;RL;1101;;4228N 00130E
AD;SCO;Santa Coloma;Santa Coloma;;--3-----;RL;307;;4230N 00130E
