BH;ADA;Adliya;Adliya;;-----6--;RL;1201;;2613N 05035E
BH;ALA;Al Hajar;Al Hajar;;-----6--;RL;1201;;2612N 05030E
BH;AHD;Al Hidd;Al Hidd;15;1-3--67-;AA;1101;;2614N 05039E
BH;AMA;Al Ma'amir;Al Ma'amir;;-----6--;RL;1201;;2608N 05036E
BH;AMH;Al Manamah;Al Manamah;13;--3--6--;RL;1301;;2614N 05034E
BH;GBQ;Al Muharraq;Al Muharraq;15;1-------;AA;1101;;2615N 05036E
BH;BAH;Bahrain International Airport;Bahrain International Airport;15;---45---;AI;1101;;2616N 05038E
BH;TOW;Hamad Town;Hamad Town;;-----6--;RL;1107;;2606N 05030E
BH;ISA;ISA Air Base;ISA Air Base;14;---4----;RL;1601;;2555N 05035E
BH;JAL;Jidd 'Ali;Jidd 'Ali;;-----6--;RL;1201;;2610N 05033E
BH;JDF;Jidhafs;Jidhafs;17;--3-----;RL;1507;;2613N 02032E
BH;KBS;Khalifa Bin Salman Port;Khalifa Bin Salman Port;15;1-------;AA;1101;;2612N 05037E
BH;KFC;King Fahed Causeway;King Fahed Causeway;17;#¿NOMBRE?;AA;1101;;2611N 05019E
BH;MTH;Madinat Hamad;Madinat Hamad;;-----6--;RL;1107;;2606N 05030E
BH;MIN;Mina Sulman Port;Mina Sulman Port;13;1-------;AA;1101;;2612N 05037E
BH;QAL;Qalali;Qalali;15;-----6--;RL;1107;;2616N 05029E
BH;RIF;Riffa;Riffa;15;--3-----;RL;1407;;2607N 05033E
BH;SAN;Sanad;Sanad;15;-----6--;RL;1107;;2609N 05034E
BH;SIT;Sitrah;Sitrah;16;1-------;AA;1101;;2608N 05037E
BH;TUB;Tubli;Tubli;;-----6--;RL;1201;;2611N 05032E
BH;UAH;Umm al Hassam;Umm al Hassam;;-----6--;RL;1201;;2612N 05035E
