BM;SEV;Devonshire;Devonshire;;1-------;RL;1107;;3218N 06445W
BM;FPT;Freeport;Freeport;;1-------;QQ;8103;;
BM;BDA;Hamilton;Hamilton;;1--45---;AI;9601;;
BM;HBI;Harbour Island;Harbour Island;;1-------;RL;212;;2530N 07638W
BM;KWF;Kings Wharf;Kings Wharf;;1-3-----;RQ;901;;
BM;PA5;Paget Parish;Paget Parish;;--3-----;RL;1507;;3217N 06446W
BM;5PE;Pembroke;Pembroke;;--3-----;RL;1507;;3218N 06446W
BM;SGE;Saint George;Saint George;;1-------;RL;212;;3223N 06441W
BM;SOU;Southampton;Southampton;;1-------;RL;1207;;3215N 06451W
BM;WA7;Warwick;Warwick;;--3-----;RL;1507;;3216N 06448W
