ET;;.ETHIOPIA;;;;;;;
ET;ADD;Addis Ababa;Addis Ababa;;---45---;AI;;;
ET;AMH;Arba Mintch;Arba Mintch;;---4----;AI;9601;;
ET;ASO;Asosa;Asosa;;---4----;AI;9601;;
ET;AWA;Awassa;Awassa;;---4----;AI;9601;;
ET;AXU;Axum;Axum;;---4----;AI;9601;;
ET;BJR;Bahar Dar;Bahar Dar;;---4----;AI;9601;;
ET;BED;Bedele;Bedele;OR;--3-----;RL;1507;;0827N 03621E
ET;BEI;Beica;Beica;;---4----;RQ;901;;0923N 03432E
ET;BCY;Bulchi;Bulchi;;---4----;AI;9601;;
ET;DBM;Debra Marcos;Debra Marcos;;---4----;AI;9601;;
ET;DBT;Debra Tabor;Debra Tabor;;---4----;RQ;901;;1151N 03800E
ET;DEM;Dembidollo;Dembidollo;;---4----;AI;9601;;
ET;DSE;Dessie;Dessie;;---4----;AI;9601;;
ET;DIR;Dire Dawa;Dire Dawa;;---45---;AI;;;
ET;DAD;Dolo Odo;Dolo Odo;SO;--3-----;RL;1201;;0411N 04204E
ET;SEM;Dubti;Dubti;AF;-----6--;RL;1201;;1144N 04105E
ET;DKM;Dukem;Dukem;OR;--3-----;RL;1501;;0848N 03854E
ET;GMB;Gambela;Gambela;;---4----;AI;9601;;
ET;ETE;Genda Wuha;Genda Wuha;;---4----;RQ;901;;
ET;GNN;Ghinnir;Ghinnir;;---4----;RQ;901;;0715N 04043E
ET;GIB;Gibe;Gibe;OR;--3-----;RL;1507;;0745N 03711E
ET;GZA;Giza;Giza;TI;--3-----;RL;1207;;1341N 03930E
ET;GOB;Goba;Goba;;---4----;AI;9601;;
ET;GDE;Gode;Gode;;---4----;RQ;901;;0554N 04337E
ET;GDQ;Gondar;Gondar;;---4----;AI;9601;;
ET;GOR;Gore;Gore;;---4----;AI;9601;;
ET;HAR;Harar;Harar;HA;--3-----;RL;1507;;0918N 04207E
ET;HUE;Humera;Humera;;---4----;AI;9601;;
ET;JIJ;Jijiga;Jijiga;;--3-----;RQ;907;;0921N 04248E
ET;JIM;Jimma;Jimma;;---4----;AI;9601;;
ET;BCO;Jinka;Jinka;;---4----;RQ;901;;
ET;ABK;Kabri Dar;Kabri Dar;;---4----;RQ;901;;0644N 04415E
ET;LFO;K'elafo;K'elafo;;---4----;AI;212;;0537N 04408E
ET;OKA;Kembolcha;Kembolcha;OR;-----6--;RL;901;;0730N 04111E
ET;LLI;Lalibela;Lalibela;;---4----;RQ;901;;1202N 03902E
ET;MQX;Makale;Makale;;---4----;AI;9601;;
ET;MKS;Mekane Selam;Mekane Selam;;---4----;AI;9601;;
ET;MEK;Mekele;Mekele;TI;--3-----;RL;1207;;1329N 03928E
ET;MZX;Mena;Mena;;---4----;AI;;;
ET;MTF;Mizan Teferi;Mizan Teferi;;---4----;AI;9601;;
ET;MOJ;Mojo;Mojo;OR;-----6--;RL;1201;;0836N 03907E
ET;MDP;Mojo Dry Port;Mojo Dry Port;OR;-----6--;RL;1507;;0834N 03908E
ET;OTA;Mot'a;Mot'a;;---4----;AI;212;;1105N 03752E
ET;MYS;Moyale;Moyale;;---4----;RQ;901;;0328N 03905E
ET;MUJ;Mui;Mui;;---4----;AI;9601;;
ET;NZR;Nazret;Nazret;;--3-----;RL;307;;0833N 03916E
ET;EGL;Neghelli;Neghelli;;---4----;RQ;901;;0516N 03943E
ET;SEB;Sebeta;Sebeta;OR;--3-----;RL;1307;;0855N 03837E
ET;S7O;Shashemene;Shashemene;OR;--3-----;RL;1507;;0712N 03836E
ET;SXU;Soddu;Soddu;;---4----;AI;9601;;
ET;SOD;Sodo;Sodo;;--3-----;RL;601;;0835N 03549E
ET;TIE;Tippi;Tippi;;---4----;AI;9601;;
ET;WAC;Waca;Waca;;---4----;AI;9601;;
