NA;AIW;Ai-Ais;Ai-Ais;;---4----;AI;1;;
NA;ADI;Arandis;Arandis;;---4----;AI;1;;
NA;VFG;Ariamsvlei;Ariamsvlei;KA;--3-----;RL;1601;;2807S 01949E
NA;ZAR;Aussenkehr;Aussenkehr;;-----6--;RL;901;;2821S 01723E
NA;BQI;Bagani;Bagani;;---4----;AI;1;;
NA;GOG;Gobabis;Gobabis;;---4----;AI;1;;
NA;GFY;Grootfontein;Grootfontein;;---4----;AI;9601;;
NA;HAL;Halali;Halali;;---4----;AI;1;;
NA;HTN;Henties Bay (Hentiesbaai);Henties Bay (Hentiesbaai);ER;--3-----;RL;1501;;2207S 01417E
NA;KAS;Karasburg;Karasburg;;---45---;AI;9805;;
NA;KRB;Karibib;Karibib;;--3-----;RL;201;;2156S 01551E
NA;KMP;Keetmanshoop;Keetmanshoop;;---4----;AI;9601;;
NA;LUD;Lüderitz;Luderitz;;1--4----;AI;212;;2639S 01510E
NA;MTH;Maltahohe;Maltahohe;HA;-----6--;RQ;1001;;2450S 01659E
NA;MAR;Mariental;Mariental;;----5---;AI;9805;;
NA;MQG;Midgard;Midgard;;---4----;AI;1;;
NA;OKU;Mokuti Lodge;Mokuti Lodge;;---4----;AI;1;;
NA;MJO;Mount Etjo Lodge;Mount Etjo Lodge;;---4----;AI;1;;
NA;MPA;Mpacha;Mpacha;;---4----;AI;1;;
NA;NNI;Namutoni;Namutoni;;---4----;AI;1;;
NA;WOR;Noordoewer;Noordoewer;KA;--3-5---;AI;307;;2845S 01737E
NA;OOZ;Okahandja;Okahandja;OD;-----6--;RL;1401;;2159S 01655E
NA;OKF;Okaukuejo;Okaukuejo;;---4----;AI;1;;
NA;OMA;Omaruru;Omaruru;ER;--3-----;RL;901;;2126S 01556E
NA;OMG;Omega;Omega;;---4----;AI;1;;
NA;OND;Ondangwa;Ondangwa;;---4----;AI;1;;
NA;OGV;Ongava Game Reserve;Ongava Game Reserve;;---4----;AI;1;;
NA;OPW;Opuwa;Opuwa;;---4----;AI;1;;
NA;OMD;Oranjemund;Oranjemund;;---4----;RQ;9012;;
NA;OHI;Oshakati;Oshakati;;---45---;AI;9805;;
NA;OSH;Oshikango;Oshikango;OW;-----6--;RL;1407;;1724S 01553E
NA;OTP;Otavi;Otavi;OD;--3-----;RL;1601;;1939S 01720E
NA;OTJ;Otjiwarongo;Otjiwarongo;;---45---;AI;9805;;
NA;RUA;Ruacana;Ruacana;KU;1----6--;RQ;1001;;1726S 01421E
NA;NDU;Rundu;Rundu;;---4----;AI;1;;
NA;SZM;Sesriem;Sesriem;;---4----;AI;1;;
NA;SWP;Swakopmund;Swakopmund;;---45---;AI;9805;;
NA;TCY;Terrace Bay;Terrace Bay;;---4----;AI;1;;
NA;TSB;Tsumeb;Tsumeb;;---4----;AI;9601;;
NA;WVB;Walvis Bay;Walvis Bay;;1-------;QQ;8103;;
NA;WDH;Windhoek;Windhoek;;---45---;AI;9601;;
