PH;ABU;Abulug;Abulug;CAG;1-------;RL;1101;;1826N 12127E
PH;ADL;Adlay/Bislig;Adlay/Bislig;;1-------;QQ;8103;;
PH;AOO;Agoo;Agoo;LUN;-----6--;RQ;1001;;1619N 12022E
PH;AHE;Aheron/Ozamis;Aheron/Ozamis;;1-------;QQ;8103;;
PH;AJU;Ajuy;Ajuy;ILI;1-------;RQ;901;;1110N 12302E
PH;AEL;Alabel;Alabel;SCO;-----6--;RQ;1001;;6522N 12516E
PH;AAV;Alah;Alah;;---4----;AI;1;;
PH;ALA;Alasang/Siain;Alasang/Siain;;1-------;QQ;8103;;
PH;ALB;Albuera;Albuera;LEY;1-------;RQ;901;;1058N 12438E
PH;ALC;Alcoy;Alcoy;CEB;1-3-----;RQ;1001;;0941N 12330E
PH;ALE;Aleran/Ozamis;Aleran/Ozamis;;1-------;QQ;8103;;
PH;AMU;Amunitan/Aparri;Amunitan/Aparri;;1-------;QQ;8103;;
PH;ANA;Anakan/Masao;Anakan/Masao;;1-------;QQ;8103;;
PH;AGL;Angeles;Angeles;;-23-----;RQ;9704;;
PH;ANG;Angono;Angono;RIZ;--3-----;RL;1501;;1431N 12108E
PH;ANT;Antipolo;Antipolo;APA;1-------;RQ;901;;
PH;OTP;Antipolo;Antipolo;QUE;--3-----;RL;1401;;1337N 12228E
PH;EUQ;Antique Evelio Javier Apt;Antique Evelio Javier Apt;ANT;---4----;RQ;1001;;1046N 12156E
PH;APR;Aparri, Luzon;Aparri, Luzon;;1-------;QQ;8103;;
PH;ARA;Aras Asan/Bislig;Aras Asan/Bislig;;1-------;QQ;8103;;
PH;AST;Astorga;Astorga;DAS;1-------;RQ;901;;0653N 12527E
PH;ATI;Atimonan/Siain;Atimonan/Siain;;1-------;QQ;8103;;
PH;BAB;Babato/Dadiangas;Babato/Dadiangas;;1-------;QQ;8103;;
PH;BCD;Bacolod, Negros;Bacolod, Negros;;1--4----;AI;9601;;
PH;BCO;Bacon/Legaspi;Bacon/Legaspi;;1-------;QQ;8103;;
PH;BAC;Bacong;Bacong;NER;1-------;RQ;901;;0914N 12318E
PH;BOO;Bacoor;Bacoor;CAV;--3-----;RL;1501;;1427N 12056E
PH;BCU;Baculin/Mati;Baculin/Mati;;1-------;QQ;8103;;
PH;BGC;Bagac;Bagac;;1-------;RQ;8103;;
PH;BNQ;Baganga/Mati;Baganga/Mati;;1--4----;AI;9601;;
PH;BGI;Bagui Bay/San Fernando;Bagui Bay/San Fernando;;1-------;QQ;8103;;
PH;BAG;Baguio;Baguio;;1--4----;AI;9601;;
PH;BAI;Bais/Dumaguete;Bais/Dumaguete;;1-------;QQ;8103;;
PH;BLC;Balabac, Palawan;Balabac, Palawan;PLW;1-3-----;RL;401;;0758N 11703E
PH;BAL;Balaboe;Balaboe;;1-------;QQ;8103;;
PH;BLM;Balamban;Balamban;CEB;--3-----;RL;1601;;1030N 12343E
PH;BLA;Balanga/Batan;Balanga/Batan;;1-------;QQ;8103;;
PH;BLN;Balengan/Siain;Balengan/Siain;;1-------;QQ;8103;;
PH;BQA;Baler/Siain;Baler/Siain;;1--4----;AI;9601;;
PH;BGS;Balingasag;Balingasag;;1-3-----;RL;212;;0845N 12447E
PH;BLT;Balintang/Puerto Princesa;Balintang/Puerto Princesa;;1-------;QQ;8103;;
PH;BLG;Balogo/Batangas;Balogo/Batangas;;1-------;QQ;8103;;
PH;BLU;Balumo/Zamboanga;Balumo/Zamboanga;;1-------;QQ;8103;;
PH;BNW;Banawan/Dadiangas;Banawan/Dadiangas;;1-------;QQ;8103;;
PH;BGK;Bangkal;Bangkal;;-----6--;RL;1201;;1432N 12100E
PH;4BA;Bangui;Bangui;ILN;--3-----;RL;1407;;1832N 12045E
PH;BTY;Bantayon/San Jose;Bantayon/San Jose;;1-------;QQ;8103;;
PH;BAR;Baras;Baras;CAT;--3-----;RL;1501;;1339N 12422E
PH;BRB;Barobo/Bislig;Barobo/Bislig;;1-------;QQ;8103;;
PH;BRT;Barton/Puerto Princesa;Barton/Puerto Princesa;;1-------;QQ;8103;;
PH;BSO;Basco;Basco;BTN;1--4----;AI;1101;;2027N 12158E
PH;BSY;Basey/Catbalogan;Basey/Catbalogan;;1-------;QQ;8103;;
PH;BAS;Basiauang/Dadiangas;Basiauang/Dadiangas;;1-------;RQ;8103;;
PH;BTN;Bataan, Mariveles;Bataan, Mariveles;;1-------;QQ;8103;;
PH;BTG;Batangas/Luzon;Batangas/Luzon;BTG;1-3--6--;AI;1301;;1345N 12103E
PH;BTS;Batarasa/Puerto Princesa;Batarasa/Puerto Princesa;;1-------;QQ;8103;;
PH;BAT;Batonbaton;Batonbaton;PLW;1-------;RQ;901;;0911N 11821E
PH;BAU;Bauan/Batangas;Bauan/Batangas;;1-------;QQ;8103;;
PH;BNG;Bauang;Bauang;LUN;123-----;RL;407;;1631N 12019E
PH;BYS;Bayabas/Bislig;Bayabas/Bislig;;1-------;QQ;8103;;
PH;BYP;Bayang Point;Bayang Point;;1-------;QQ;8103;;
PH;BYW;Bayawan/Dumaguete;Bayawan/Dumaguete;;1-------;QQ;8103;;
PH;BYB;Baybay/Tacloban;Baybay/Tacloban;;1-------;QQ;8103;;
PH;NAN;Binan;Binan;CAV;-----6--;RQ;907;;1416N 12135E
PH;BIN;Biñan;Binan;LAG;1-3-----;RQ;901;;
PH;BNA;Binangonan;Binangonan;RIZ;--3-----;RL;1501;;1427N 12113E
PH;BND;Binondo;Binondo;;--3-----;RL;1007;;1436N 12058E
PH;BPH;Bislig, Mindanao;Bislig, Mindanao;;1--4----;AI;9601;;
PH;BIY;Biyawa/Davao;Biyawa/Davao;;1-------;QQ;8103;;
PH;BOA;Boac, Marinduque;Boac, Marinduque;;1-------;QQ;8103;;
PH;BOG;Bogo;Bogo;;1-3-----;RL;212;;1103N 12400E
PH;BLP;Bolos Point/Aparri;Bolos Point/Aparri;;1-------;QQ;8103;;
PH;BOR;Boracay;Boracay;ROM;1-------;RQ;901;;1158N 12155E
PH;BGV;Borongan;Borongan;;1-------;RQ;9506;;
PH;BOS;Boston/Davao;Boston/Davao;;1-------;QQ;8103;;
PH;BRP;Brookes Point, Palawan;Brookes Point, Palawan;PLW;1-3-----;RL;401;;0846N 11750E
PH;BNY;Buanoy;Buanoy;CEB;-----6--;RL;1201;;1027N 12341E
PH;BGR;Bucar Grande/Suriagao;Bucar Grande/Suriagao;;1-------;QQ;8103;;
PH;BUD;Budbud/Davao;Budbud/Davao;;1-------;QQ;8103;;
PH;BUG;Bugo;Bugo;;1-------;QQ;8103;;
PH;BUN;Bulacan;Bulacan;BUL;-----6--;RQ;1001;;1447N 12052E
PH;BUL;Bulan, Luzon;Bulan, Luzon;;1-------;QQ;8103;;
PH;BUR;Burdeos, Polillo Isl;Burdeos, Polillo Isl;QUE;1-3-----;RL;401;;1450N 12158E
PH;PPB;Busan Bay;Busan Bay;ZAS;-----6--;RL;901;;0735N 12227E
PH;USU;Busuanga;Busuanga;;---4----;AI;1;;
PH;BXU;Butuan Bay/Masao;Butuan Bay/Masao;;1--4----;AI;9601;;
PH;BTC;Butuan City;Butuan City;AGN;--3-----;RL;1301;;0856N 12532E
PH;CBT;Cabanatuan;Cabanatuan;NUE;-----6--;RL;1107;;1529N 12058E
PH;CAB;Cabugao Bay/Legaspi;Cabugao Bay/Legaspi;;1-------;QQ;8103;;
PH;CAZ;Cadiz;Cadiz;;1-------;RL;9811;;
PH;CGY;Cagayan de Oro, Mindanao;Cagayan de Oro, Mindanao;;1--4----;AI;9601;;
PH;CDY;Cagayan de Sulu;Cagayan de Sulu;;---4----;AI;1;;
PH;CDN;Cagdianao;Cagdianao;SUN;1-------;RQ;901;;0955N 12540E
PH;CHO;Cahalo;Cahalo;PAM;--3-----;RL;1301;;1517N 12039E
PH;CAI;Cainta;Cainta;RIZ;--3-----;RL;1501;;1434N 12107E
PH;CAJ;Cajidiocan, Visayan Isl;Cajidiocan, Visayan Isl;ROM;1-3-----;RL;401;;1222N 12241E
PH;CAA;Calaca;Calaca;;--3-----;RL;6;;
PH;CCG;Calag-Calag/Dumaguete;Calag-Calag/Dumaguete;;1-------;QQ;8103;;
PH;CGT;Calaguitan/Tacloban;Calaguitan/Tacloban;;1-------;QQ;8103;;
PH;CAL;Calamba;Calamba;;--3-----;RL;6;;
PH;CLP;Calapan/Batangas;Calapan/Batangas;;1-------;QQ;8103;;
PH;CYP;Calbayog Apt, Samar;Calbayog Apt, Samar;;---4----;AI;401;;1205N 12433E
PH;CBY;Calbayog, Samar;Calbayog, Samar;;1-3-----;RL;401;;1204N 12436E
PH;CDB;Caldera Bay/Zamboanga;Caldera Bay/Zamboanga;;1-------;QQ;8103;;
PH;CAC;Caloocan City;Caloocan City;;-----6--;RQ;907;;1439N 12058E
PH;CWY;Calowayan/Catabalogan;Calowayan/Catabalogan;;1-------;QQ;8103;;
PH;CUG;Calubian, Leyte;Calubian, Leyte;LEY;1-3-----;RL;401;;1126N 12425E
PH;CGP;Calug Point/Zamboanga;Calug Point/Zamboanga;;1-------;QQ;8103;;
PH;UPT;Calumpit;Calumpit;BUL;--3-----;RL;1301;;1455N 12046E
PH;CML;Camalagawan/Aparri;Camalagawan/Aparri;;1-------;QQ;8103;;
PH;CAM;Camarines Norte/Jose Panganiban;Camarines Norte/Jose Panganiban;;1-------;RQ;8103;;
PH;CGM;Camiguin Island/Aparri;Camiguin Island/Aparri;;1--4----;AI;9601;;
PH;CNY;Canaybon/Catbalogan;Canaybon/Catbalogan;;1-------;QQ;8103;;
PH;CDA;Candelaria;Candelaria;QUE;-----6--;RQ;1001;;1355N 12125E
